Date,Postcode,Latitude,Longitude,municipality,Cases_14_days,tasa_incidencia_14dias_100mil_hab,Cases,tasa_incidencia_100mil_hab
2020-04-08,28036,40.170929,-3.832050,Casarrubuelos,≤ 5,147,9,264
2020-04-08,28085,40.811311,-3.765597,Miraflores de la Sierra,9,163,21,381
2020-04-08,28104,40.505517,-3.530109,Paracuellos de Jarama,35,152,55,239
2020-04-08,28168,40.767382,-3.581806,El Vellón,≤ 5,282,10,704
2020-04-08,28076,40.951330,-3.792252,Lozoya,≤ 5,0,≤ 5,237
2020-04-08,28047,40.630432,-4.005661,Collado Villalba,135,195,227,328
2020-04-08,28044,40.560846,-4.016787,Colmenarejo,8,99,19,235
2020-04-08,28182,41.006349,-3.671080,Villavieja del Lozoya,≤ 5,0,≤ 5,0
2020-04-08,28117,41.044074,-3.540418,Prádena del Rincón,≤ 5,0,≤ 5,0
2020-04-08,28030,40.865371,-3.615373,La Cabrera,6,198,8,264
2020-04-08,28141,40.347322,-4.027438,Sevilla la Nueva,12,121,22,221
2020-04-08,28121,40.816275,-3.603215,Redueña,≤ 5,0,≤ 5,0
2020-04-08,28124,40.952680,-3.519904,Robledillo de la Jara,≤ 5,1852,≤ 5,1852
2020-04-08,28138,41.030794,-3.625016,La Serna del Monte,≤ 5,0,≤ 5,0
2020-04-08,28043,40.109777,-3.390750,Colmenar de Oreja,9,125,18,250
2020-04-08,28128,40.309334,-4.491936,Rozas de Puerto Real,≤ 5,0,≤ 5,0
2020-04-08,28158,40.872247,-3.663073,Valdemanco,≤ 5,0,≤ 5,0
2020-04-08,28026,40.404881,-3.999234,Brunete,9,80,48,425
2020-04-08,28147,40.137642,-3.570192,Titulcia,≤ 5,302,≤ 5,503
2020-04-08,28171,40.277239,-4.305161,Villa del Prado,31,470,38,576
2020-04-08,28901,40.926854,-3.618333,Lozoyuela-Navas-Sieteiglesias,≤ 5,174,≤ 5,174
2020-04-08,28119,40.428817,-4.056775,Quijorna,≤ 5,255,10,509
2020-04-08,28161,40.190657,-3.675237,Valdemoro,130,170,527,690
2020-04-08,28903,40.608028,-3.711811,Tres Cantos,149,310,217,452
2020-04-08,28151,40.827352,-3.539780,Torrelaguna,11,217,13,257
2020-04-08,28123,40.351871,-3.535021,Rivas-Vaciamadrid,252,293,414,481
2020-04-08,28016,40.934618,-3.471242,El Atazar,≤ 5,0,≤ 5,0
2020-04-08,28108,40.744658,-3.603297,Pedrezuela,8,145,13,235
2020-04-08,28135,40.596162,-4.259594,Santa María de la Alameda,≤ 5,0,≤ 5,0
2020-04-08,28071,41.060053,-3.545750,Horcajuelo de la Sierra,≤ 5,0,≤ 5,0
2020-04-08,28015,40.277510,-3.921958,Arroyomolinos,75,287,106,406
2020-04-08,28090,40.676939,-3.971874,Moralzarzal,35,269,46,353
2020-04-08,28034,40.907595,-3.738282,Canencia,≤ 5,271,≤ 5,271
2020-04-08,28180,40.167583,-3.275873,Villarejo de Salvanés,18,236,32,420
2020-04-08,28140,40.205568,-3.883815,Serranillos del Valle,10,263,20,526
2020-04-08,28181,40.362066,-3.913664,Villaviciosa de Odón,67,242,128,461
2020-04-08,28032,40.550158,-3.378289,Camarma de Esteruelas,13,183,37,520
2020-04-08,28125,40.504800,-4.234554,Robledo de Chavela,7,186,9,239
2020-04-08,28107,40.854849,-3.485175,Patones,≤ 5,437,≤ 5,655
2020-04-08,28095,40.468396,-4.122525,Navalagamella,≤ 5,89,≤ 5,222
2020-04-08,28120,40.904897,-3.879648,Rascafría,≤ 5,272,≤ 5,339
2020-04-08,28023,40.719802,-3.919440,El Boalo,16,253,23,364
2020-04-08,28080,40.473380,-3.868737,Majadahonda,134,172,323,414
